make,model,VClass
Nissan,Armada 4WD,Standard Sport Utility Vehicle 4WD
Toyota,Highlander Hybrid 4WD,Standard Sport Utility Vehicle 4WD
Toyota,4Runner 4WD,Standard Sport Utility Vehicle 4WD
Toyota,Sequoia 4WD,Standard Sport Utility Vehicle 4WD
Toyota,Sequoia 4WD FFV,Standard Sport Utility Vehicle 4WD
Honda,Fit EV,Small Station Wagons
Infiniti,EX37,Small Station Wagons
Infiniti,EX37 AWD,Small Station Wagons
Mercedes-Benz,ML350 Bluetec 4matic,Standard Sport Utility Vehicle 4WD
Mazda,CX-9 2WD,Small Sport Utility Vehicle 2WD
Audi,Q5 Hybrid,Small Sport Utility Vehicle 4WD
Mazda,CX-9 4WD,Small Sport Utility Vehicle 4WD
Infiniti,QX56 2WD,Standard Sport Utility Vehicle 2WD
Infiniti,QX56 4WD,Standard Sport Utility Vehicle 4WD
smart,fortwo electric drive convertible,Two Seaters
Scion,iQ EV,Minicompact Cars
Chevrolet,Sonic RS,Midsize Cars
Jaguar,XF AWD,Midsize Cars
Volkswagen,GTI 16v,Compact Cars
Jaguar,XJ AWD,Large Cars
Jaguar,XJ LWB AWD,Large Cars
Volkswagen,GTI/Golf GT,Compact Cars
Nissan,Murano FWD,Small Sport Utility Vehicle 2WD
Land Rover,Range Rover Evoque,Small Sport Utility Vehicle 4WD
Nissan,Murano AWD,Small Sport Utility Vehicle 4WD
Ford,C-MAX Energi Plug-in Hybrid,Midsize Cars
Mercedes-Benz,SLS AMG GT Coupe,Two Seaters
Mercedes-Benz,SLS AMG GT Roadster,Two Seaters
Mercedes-Benz,E400 Hybrid,Midsize Cars
Toyota,Avalon,Midsize Cars
Ram,1500 HFE 2WD,Standard Pickup Trucks 2WD
Nissan,Pathfinder 2WD,Small Sport Utility Vehicle 2WD
Nissan,Pathfinder 4WD,Small Sport Utility Vehicle 4WD
Land Rover,LR4,Standard Sport Utility Vehicle 4WD
BMW,650i Convertible xDrive,Compact Cars
BMW,M6 Convertible,Compact Cars
Volkswagen,Jetta Hybrid,Compact Cars
Tesla,Model S (60 kW-hr battery pack),Large Cars
Tesla,Model S (85 kW-hr battery pack),Large Cars
Audi,RS 5 Cabriolet,Subcompact Cars
Volkswagen,Jetta GLI 16v,Compact Cars
Toyota,Avalon Hybrid,Midsize Cars
Volkswagen,Jetta GLI/Wolfsburg Edition,Compact Cars
Land Rover,LR2,Small Sport Utility Vehicle 4WD
Land Rover,Range Rover,Standard Sport Utility Vehicle 4WD
BYD,e6,Sport Utility Vehicle - 2WD
Cadillac,XTS Hearse,Special Purpose Vehicle 2WD
Cadillac,XTS Limo,Special Purpose Vehicle 2WD
Hyundai,Santa Fe 2WD,Small Sport Utility Vehicle 2WD
Buick,Encore AWD,Small Sport Utility Vehicle 4WD
Hyundai,Santa Fe 4WD,Small Sport Utility Vehicle 4WD
Nissan,Murano CrossCabriolet,Small Sport Utility Vehicle 4WD
BMW,X5 xDrive35d,Standard Sport Utility Vehicle 4WD
Fiat,500e,Minicompact Cars
Toyota,RAV4 EV,Small Sport Utility Vehicle 2WD
Ford,Fusion Energi Plug-in Hybrid,Midsize Cars
Lamborghini,Aventador Roadster,Two Seaters
Nissan,Xterra 2WD,Small Sport Utility Vehicle 2WD
Toyota,RAV4 2WD,Small Sport Utility Vehicle 2WD
Nissan,Xterra 4WD,Small Sport Utility Vehicle 4WD
Toyota,RAV4 AWD,Small Sport Utility Vehicle 4WD
Toyota,RAV4 Limited AWD,Small Sport Utility Vehicle 4WD
Volvo,780,Compact Cars
Aston Martin,Rapide S,Subcompact Cars
Jeep,Compass FWD,Small Sport Utility Vehicle 2WD
Jeep,Patriot FWD,Small Sport Utility Vehicle 2WD
MINI,Cooper Clubvan,Two Seaters
MINI,John Cooper Works GP-2,Two Seaters
BMW,320i,Compact Cars
ASC Incorporated,GNX,Midsize Cars
BMW,320i xDrive,Compact Cars
MINI,Cooper Countryman Coupe,Compact Cars
Honda,Crosstour 4WD,Small Sport Utility Vehicle 4WD
Mercedes-Benz,GL63 AMG,Standard Sport Utility Vehicle 4WD
Porsche,Cayenne Turbo S,Standard Sport Utility Vehicle 4WD
BMW,650i xDrive Coupe,Subcompact Cars
BMW,650i xDrive Convertible,Subcompact Cars
Audi,5000 CS Turbo,Midsize Cars
Kia,Cadenza,Large Cars
Honda,Crosstour 2WD,Small Sport Utility Vehicle 2WD
BMW,640i xDrive Coupe,Subcompact Cars
BMW,640i xDrive Convertible,Subcompact Cars
BMW,640i xDrive Gran Coupe,Compact Cars
Acura,RLX,Midsize Cars
Hyundai,Sonata Hybrid Limited,Midsize Cars
Kia,Optima Hybrid EX,Midsize Cars
Nissan,NV200 Cargo Van,"Vans, Cargo Type"
Acura,ZDX 4WD,Small Sport Utility Vehicle 4WD
SRT,Viper,Two Seaters
Bentley,Continental GT Speed Convertible,Subcompact Cars
Bentley,Flying Spur,Midsize Cars
Audi,5000 S quattro,Midsize Cars
Honda,Accord Plug-in Hybrid,Midsize Cars
Jaguar,F-Type V8 S Convertible,Two Seaters
Acura,MDX 2WD,Small Sport Utility Vehicle 2WD
Lincoln,MKT FWD,Standard Sport Utility Vehicle 2WD
Tesla,Model S (40 kW-hr battery pack),Large Cars
Jaguar,F-Type Convertible,Two Seaters
Jaguar,F-Type S Convertible,Two Seaters
Lamborghini,Aventador Veneno Coupe,Two Seaters
Chevrolet,Spark EV,Subcompact Cars
Lexus,IS 350,Compact Cars
Lexus,IS 350 AWD,Compact Cars
Lexus,IS 250,Compact Cars
Lexus,IS 250 AWD,Compact Cars
Mercedes-Benz,CLS63 AMG S,Compact Cars
Mercedes-Benz,E63 AMG S,Midsize Cars
Chevrolet,Tahoe C10 2WD,Standard Sport Utility Vehicle 2WD
Chevrolet,Suburban C10 2WD,Standard Sport Utility Vehicle 2WD
GMC,Yukon C10 2WD,Standard Sport Utility Vehicle 2WD
GMC,Yukon XL C10 2WD,Standard Sport Utility Vehicle 2WD
Jaguar,XF FFV,Midsize Cars
Jaguar,XJL FFV,Large Cars
Jaguar,XJ FFV,Large Cars
Mercedes-Benz,GLK250 Bluetec 4matic,Small Sport Utility Vehicle 4WD
Ferrari,F12,Two Seaters
Mercedes-Benz,300SD,Compact Cars
Ford,Fiesta ST FWD,Compact Cars
Mercedes-Benz,CLS63 AMG 4matic,Compact Cars
Mercedes-Benz,CLS63 AMG S 4matic,Compact Cars
Audi,RS 7,Midsize Cars
Cadillac,CTS Sedan AWD,Midsize Cars
Chevrolet,Impala eAssist,Large Cars
Chevrolet,Impala Limited,Large Cars
Mercedes-Benz,E63 AMG 4matic (wagon),Midsize Station Wagons
Mercedes-Benz,E63 AMG S 4matic (wagon),Midsize Station Wagons
Infiniti,QX70 RWD,Small Sport Utility Vehicle 2WD
Infiniti,QX70 AWD,Small Sport Utility Vehicle 4WD
Chevrolet,Tahoe K10 4WD,Standard Sport Utility Vehicle 4WD
Chevrolet,Suburban K10 4WD,Standard Sport Utility Vehicle 4WD
GMC,Yukon XL K10 4WD,Standard Sport Utility Vehicle 4WD
GMC,Yukon K10 4WD,Standard Sport Utility Vehicle 4WD
GMC,Yukon Denali K10 AWD,Standard Sport Utility Vehicle 4WD
GMC,Yukon XL K10 AWD,Standard Sport Utility Vehicle 4WD
Cadillac,CTS Sedan,Midsize Cars
Infiniti,Q50a,Midsize Cars
Infiniti,Q50,Midsize Cars
Infiniti,Q50a AWD,Midsize Cars
Infiniti,Q50 AWD,Midsize Cars
Mazda,3 5-Door,Midsize Cars
Mercedes-Benz,E63 AMG 4matic,Midsize Cars
Mercedes-Benz,E63 AMG S 4matic,Midsize Cars
Fiat,500 L,Small Station Wagons
Infiniti,QX60 FWD,Small Sport Utility Vehicle 2WD
Infiniti,QX60 AWD,Small Sport Utility Vehicle 4WD
TVR Engineering Ltd,TVR 280i Coupe,Two Seaters
Mercedes-Benz,380SE,Compact Cars
MINI,Cooper Paceman,Compact Cars
MINI,Cooper S Paceman,Compact Cars
MINI,Cooper S Paceman All4,Compact Cars
MINI,JCW Paceman All4,Compact Cars
Infiniti,QX80 2WD,Standard Sport Utility Vehicle 2WD
Infiniti,QX80 4WD,Standard Sport Utility Vehicle 4WD
BMW,328d,Compact Cars
BMW,328d xDrive,Compact Cars
Chevrolet,Sonic RS,Compact Cars
Infiniti,Q50 Hybrid,Compact Cars
Infiniti,Q50S Hybrid,Compact Cars
Infiniti,Q50 Hybrid AWD,Compact Cars
Infiniti,Q50S Hybrid AWD,Compact Cars
Cadillac,CTS V,Midsize Cars
Chevrolet,Sonic 5 RS,Midsize Cars
BMW,335i xDrive Gran Turismo,Large Cars
Maserati,Quattroporte GTS,Large Cars
BMW,328d xDrive Sports Wagon,Small Station Wagons
Infiniti,Q60 AWD Coupe,Subcompact Cars
Infiniti,Q60 Convertible,Subcompact Cars
Infiniti,Q60 Coupe,Subcompact Cars
Mcevoy Motors,740 GLE Sedan,Midsize Cars
Infiniti,QX50,Small Station Wagons
Infiniti,QX50 AWD,Small Station Wagons
BMW,535d,Midsize Cars
BMW,535d xDrive,Midsize Cars
Maserati,Ghibli V6 AWD,Midsize Cars
Rolls-Royce,Wraith,Midsize Cars
BMW,328i xDrive Gran Turismo,Large Cars
Jaguar,XJL,Large Cars
Jaguar,XJL AWD,Large Cars
Maserati,Quattroporte SQ4 V6,Large Cars
Audi,SQ5,Small Sport Utility Vehicle 4WD
Mazda,3 4-Door,Compact Cars
Toyota,Venza 4WD,Small Sport Utility Vehicle 4WD
Mercedes-Benz,SLS AMG Black Series Coupe,Two Seaters
BMW,428i Coupe,Compact Cars
BMW,428i xDrive Coupe,Compact Cars
BMW,435i Coupe,Compact Cars
BMW,435i xDrive Coupe,Compact Cars
Buick,Regal AWD,Midsize Cars
Toyota,Camry Hybrid XLE/SE,Midsize Cars
Chevrolet,SS,Large Cars
BMW,X5 sDrive35i,Standard Sport Utility Vehicle 4WD
Dodge,Durango AWD,Standard Sport Utility Vehicle 4WD
Land Rover,Range Rover Sport FFV,Standard Sport Utility Vehicle 4WD
Porsche,Panamera 4S Executive,Large Cars
Porsche,Panamera Turbo Executive,Large Cars
Jeep,Cherokee FWD,Small Sport Utility Vehicle 2WD
Honda,Pilot 4WD,Small Sport Utility Vehicle 4WD
Jeep,Cherokee 4WD,Small Sport Utility Vehicle 4WD
Land Rover,Range Rover FFV,Standard Sport Utility Vehicle 4WD
Mercedes-Benz,E250 Bluetec,Midsize Cars
Mercedes-Benz,E250 Bluetec 4matic,Midsize Cars
Toyota,Corolla,Midsize Cars
Toyota,Corolla LE Eco,Midsize Cars
Jeep,Cherokee 4WD Active Drive II,Small Sport Utility Vehicle 4WD
Dodge,Durango RWD,Standard Sport Utility Vehicle 2WD
Rolls-Royce,Eight/Mulsan,Midsize Cars
Lexus,IS 350 C,Subcompact Cars
Lexus,IS 250 C,Subcompact Cars
Maserati,Ghibli V6,Midsize Cars
Rolls-Royce,Silver Spirit/Silver Spur,Midsize Cars
Jeep,Cherokee Trailhawk 4WD,Small Sport Utility Vehicle 4WD
Mercedes-Benz,CLA250,Compact Cars
Porsche,911 Targa 4,Minicompact Cars
Dodge,Dart GT,Midsize Cars
Kia,Soul ECO dynamics,Small Station Wagons
Ford,Transit Connect Van 2WD,Special Purpose Vehicle 2WD
Ford,Transit Connect Wagon LWB FWD,Special Purpose Vehicle 2WD
Infiniti,QX60 Hybrid FWD,Standard Sport Utility Vehicle 2WD
Nissan,Pathfinder Hybrid 2WD,Standard Sport Utility Vehicle 2WD
Infiniti,QX60 Hybrid AWD,Standard Sport Utility Vehicle 4WD
Nissan,Pathfinder Hybrid 4WD,Standard Sport Utility Vehicle 4WD
Subaru,XV Crosstrek Hybrid AWD,Small Sport Utility Vehicle 4WD
Porsche,911 Targa 4S,Minicompact Cars
Hyundai,Genesis R Spec,Large Cars
Mercedes-Benz,S63 AMG 4matic,Large Cars
Mercedes-Benz,CLA45 AMG 4matic,Compact Cars
Cadillac,Brougham,Large Cars
Acura,RLX Hybrid,Midsize Cars
Hyundai,Elantra Limited,Midsize Cars
Infiniti,Q70,Midsize Cars
Infiniti,Q70 AWD,Midsize Cars
Infiniti,Q70 Hybrid,Midsize Cars
Kia,Forte 5,Large Cars
CCC Engineering,Duntov GT,Large Cars
Porsche,Panamera Turbo S Executive,Large Cars
Toyota,RAV4,Small Sport Utility Vehicle 2WD
Land Rover,Range Rover L FFV,Standard Sport Utility Vehicle 4WD
Toyota,Highlander AWD,Standard Sport Utility Vehicle 4WD
Nissan,Rogue Select FWD,Small Sport Utility Vehicle 2WD
Nissan,Rogue Select AWD,Small Sport Utility Vehicle 4WD
Kia,K900,Large Cars
Kia,Sorento FWD,Small Sport Utility Vehicle 2WD
Kia,Sorento AWD,Small Sport Utility Vehicle 4WD
Subaru,WRX,Compact Cars
Volvo,V60 AWD,Small Station Wagons
Chevrolet,Tahoe C1500 2WD,Standard Sport Utility Vehicle 2WD
Chevrolet,Suburban C1500 2WD,Standard Sport Utility Vehicle 2WD
GMC,Yukon C1500 2WD,Standard Sport Utility Vehicle 2WD
GMC,Yukon C1500 XL 2WD,Standard Sport Utility Vehicle 2WD
Cadillac,Escalade 4WD,Standard Sport Utility Vehicle 4WD
Cadillac,Escalade ESV 4WD,Standard Sport Utility Vehicle 4WD
Chevrolet,Tahoe K1500 4WD,Standard Sport Utility Vehicle 4WD
Chevrolet,Suburban K1500 4WD,Standard Sport Utility Vehicle 4WD
GMC,Yukon K1500 XL 4WD,Standard Sport Utility Vehicle 4WD
GMC,Yukon K1500 4WD,Standard Sport Utility Vehicle 4WD
BMW,228i,Subcompact Cars
Nissan,NV200 Cargo Van,Special Purpose Vehicle 2WD
Jaguar,F-Type R Coupe,Two Seaters
Jaguar,F-Type Coupe,Two Seaters
Jaguar,F-Type S Coupe,Two Seaters
Audi,A3 quattro,Subcompact Cars
BMW,428i Convertible,Subcompact Cars
Toyota,Highlander Hybrid 4WD LE Plus,Standard Sport Utility Vehicle 4WD
BMW,M235i,Subcompact Cars
Roush Performance,F150 Pickup 2WD,Standard Pickup Trucks 2WD
Roush Performance,F150 Raptor Pickup 4WD,Standard Pickup Trucks 4WD
Roush Performance,F150 Pickup 4WD,Standard Pickup Trucks 4WD
BMW,M1 Coupe,Subcompact Cars
Ford,Expedition Limo. 2WD FFV,Sport Utility Vehicle - 2WD
Lincoln,Navigator Limo. 2WD FFV,Sport Utility Vehicle - 2WD
Lincoln,MKT Hearse AWD,Sport Utility Vehicle - 4WD
Hyundai,Genesis RWD,Large Cars
Hyundai,Genesis AWD,Large Cars
Cadillac,ELR,Subcompact Cars
Audi,A3,Subcompact Cars
Chrysler,200 AWD,Midsize Cars
Saab,9000,Large Cars
BMW,435i Convertible,Subcompact Cars
Mercedes-Benz,CLA250 4matic,Compact Cars
Porsche,Panamera S E-Hybrid,Large Cars
MINI,Cooper (3-doors),Subcompact Cars
MINI,Cooper S (3-doors),Subcompact Cars
Bentley,Continental GT Convertible,Subcompact Cars
BMW,X3 sDrive28i,Small Sport Utility Vehicle 2WD
Volvo,V60 FWD,Small Station Wagons
Porsche,918 Spyder,Two Seaters
BMW,428i xDrive Convertible,Subcompact Cars
BYD,e6,Small Sport Utility Vehicle 2WD
BMW,435i Gran Coupe,Compact Cars
BMW,740Ld xDrive,Large Cars
BMW,Alpina B6 Gran Coupe xDrive,Compact Cars
BMW,X3 xDrive28d,Small Sport Utility Vehicle 4WD
BMW,428i Gran Coupe,Compact Cars
Volvo,S60 PoleStar AWD,Compact Cars
Volvo,V60 PoleStar AWD,Small Station Wagons
McLaren Automotive,MP4-12C Spider,Two Seaters
Lamborghini,Huracan,Two Seaters
Aston Martin,Vantage GT,Two Seaters
Nissan,Sentra Wagon 4WD,Small Station Wagons
Lincoln,MKC FWD,Small Sport Utility Vehicle 2WD
Lincoln,MKC AWD,Small Sport Utility Vehicle 4WD
Porsche,Macan S,Small Sport Utility Vehicle 4WD
Porsche,Macan Turbo,Small Sport Utility Vehicle 4WD
Audi,A3 Cabriolet quattro,Subcompact Cars
Audi,A3 Cabriolet,Subcompact Cars
BMW,M4 Convertible,Subcompact Cars
BMW,435i xDrive Gran Coupe,Compact Cars
BMW,M4 Coupe,Compact Cars
Hyundai,Sonata Sport Limited,Large Cars
Ford,Transit T150 Wagon FFV,"Vans, Passenger Type"
Ford,Transit T150 Wagon,"Vans, Passenger Type"
Cadillac,SRX,Standard Sport Utility Vehicle 2WD
Mazda,323 Wagon,Small Station Wagons
BMW,428i xDrive Gran Coupe,Compact Cars
Hyundai,Santa Fe Ultimate 2WD,Small Sport Utility Vehicle 2WD
Hyundai,Santa Fe Ultimate 4WD,Small Sport Utility Vehicle 4WD
Hyundai,Tucson AWD,Small Sport Utility Vehicle 4WD
Mobility Ventures LLC,MV-1,Special Purpose Vehicle 2WD
Porsche,Boxster GTS,Two Seaters
Porsche,Cayman GTS,Two Seaters
Maserati,Ghibli V6 SQ4,Midsize Cars
Kia,Sportage FWD,Small Sport Utility Vehicle 2WD
Kia,Sportage AWD,Small Sport Utility Vehicle 4WD
BMW,i3 BEV,Subcompact Cars
BMW,X4 xDrive28i,Small Sport Utility Vehicle 4WD
BMW,X4 xDrive35i,Small Sport Utility Vehicle 4WD
Mercedes-Benz,B-Class Electric Drive,Midsize Cars
Lamborghini,Veneno Roadster,Two Seaters
Aston Martin,V12 Vantage S,Two Seaters
BMW,i3 REX,Subcompact Cars
Subaru,Wagon 4WD Turbo,Small Station Wagons
Infiniti,Q60,Subcompact Cars
Infiniti,Q60 AWD,Subcompact Cars
Peugeot,505,Compact Cars
Toyota,Camry Wagon,Small Station Wagons
Mercedes-Benz,SL400,Two Seaters
BMW,228i xDrive,Subcompact Cars
BMW,M235i xDrive,Subcompact Cars
Acura,TLX,Compact Cars
Mercedes-Benz,C400 4matic,Compact Cars
Volkswagen,Fox GL Wagon,Small Station Wagons
Jeep,Grand Cherokee SRT8 4WD,Standard Sport Utility Vehicle 4WD
Audi,S3,Subcompact Cars
BMW,435i xDrive Convertible,Subcompact Cars
Audi,Q3 quattro,Compact Cars
Audi,Q3,Compact Cars
Ram,C/V Tradesman,Minivan - 2WD
Mercedes-Benz,ML400 4matic,Standard Sport Utility Vehicle 4WD
BMW,X5 sDrive35i,Standard Sport Utility Vehicle 2WD
BMW,X6 sDrive35i,Standard Sport Utility Vehicle 2WD
Alfa Romeo,4C,Two Seaters
Ferrari,458 Speciale,Two Seaters
Ferrari,458 Speciale Spider,Two Seaters
Infiniti,Q40,Midsize Cars
Infiniti,Q40 AWD,Midsize Cars
Chevrolet,Silverado C15 Cab Chassis 2WD,Special Purpose Vehicle 2WD
GMC,Sierra C15 Cab Chassis 2WD,Special Purpose Vehicle 2WD
Chevrolet,Silverado K15 Cab Chassis 4WD,Special Purpose Vehicle 4WD
GMC,Sierra K15 Cab Chassis 4WD,Special Purpose Vehicle 4WD
BMW,i8,Subcompact Cars
McLaren Automotive,P1,Two Seaters
Kia,Soul Electric,Small Station Wagons
McLaren Automotive,650S Coupe,Two Seaters
McLaren Automotive,650S Spider,Two Seaters
Ferrari,California T,Minicompact Cars
Acura,TLX AWD,Compact Cars
Ford,Taurus Wagon 3.0 A/C,Midsize-Large Station Wagons
Subaru,Impreza Sport AWD,Small Station Wagons
Mercury,Sable Wagon 3.0 A/C,Midsize-Large Station Wagons
Kia,Sedona SX,Minivan - 2WD
Kia,Sedona SXL,Minivan - 2WD
Chevrolet,Trax AWD,Small Sport Utility Vehicle 4WD
Mercedes-Benz,300TD,Midsize-Large Station Wagons
Mobility Ventures LLC,MV-1 CNG,Special Purpose Vehicle 2WD
Dodge,Viper SRT,Two Seaters
Mcevoy Motors,240 DL/240 GL Wagon,Midsize-Large Station Wagons
Mcevoy Motors,740 GLE Wagon,Midsize-Large Station Wagons
Chevrolet,Colorado Cab Chassis 2WD,Special Purpose Vehicle 2WD
GMC,Canyon Cab Chassis 2WD,Special Purpose Vehicle 2WD
Hyundai,Santa Fe FWD,Small Sport Utility Vehicle 2WD
Hyundai,Santa Fe Ultimate FWD,Small Sport Utility Vehicle 2WD
Hyundai,Santa Fe AWD,Small Sport Utility Vehicle 4WD
Hyundai,Santa Fe Ultimate AWD,Small Sport Utility Vehicle 4WD
Ford,Expedition 2WD,Standard Sport Utility Vehicle 2WD
Ford,Expedition EL 2WD,Standard Sport Utility Vehicle 2WD
Lincoln,Navigator 2WD,Standard Sport Utility Vehicle 2WD
Lincoln,Navigator L 2WD,Standard Sport Utility Vehicle 2WD
Ford,Expedition 4WD,Standard Sport Utility Vehicle 4WD
Ford,Expedition EL 4WD,Standard Sport Utility Vehicle 4WD
Lincoln,Navigator 4WD,Standard Sport Utility Vehicle 4WD
Lincoln,Navigator L 4WD,Standard Sport Utility Vehicle 4WD
Mercedes-Benz,GLA45 AMG 4matic,Midsize Station Wagons
Hyundai,Santa Fe Sport FWD,Small Sport Utility Vehicle 2WD
Hyundai,Santa Fe Sport Ultimate FWD,Small Sport Utility Vehicle 2WD
Hyundai,Santa Fe Sport AWD,Small Sport Utility Vehicle 4WD
Mercedes-Benz,GLA250 4matic,Small Sport Utility Vehicle 4WD
Chevrolet,City Express Cargo Van,Special Purpose Vehicle 2WD
Chevrolet,Trax,Small Sport Utility Vehicle 2WD
Lexus,NX 300h,Small Sport Utility Vehicle 2WD
Toyota,RAV4 LE/XLE,Small Sport Utility Vehicle 2WD
Lexus,NX 300h AWD,Small Sport Utility Vehicle 4WD
MINI,Cooper (5-doors),Subcompact Cars
MINI,Cooper S (5-doors),Subcompact Cars
Mercedes-Benz,S550 4matic Coupe,Compact Cars
Nissan,Pathfinder 4WD Platinum,Small Sport Utility Vehicle 4WD
Ferrari,LaFerrari Hybrid,Two Seaters
Lexus,RC 350 AWD,Subcompact Cars
Lexus,RC 350,Subcompact Cars
Mercedes-Benz,S63 AMG 4matic Coupe,Compact Cars
Volkswagen,e-Golf,Compact Cars
Lexus,RC F,Subcompact Cars
Mercedes-Benz,E400,Midsize Cars
Mercedes-Benz,E400 4matic,Midsize Cars
Mercedes-Benz,E400 4matic (wagon),Midsize Station Wagons
Mercedes-Benz,E400 Coupe,Subcompact Cars
Mercedes-Benz,E400 4matic Coupe,Subcompact Cars
Mercedes-Benz,E400 Convertible,Subcompact Cars
Mercedes-Benz,CLS400,Compact Cars
Hyundai,Sonata Limited,Large Cars
Mercedes-Benz,ML250 Bluetec 4matic,Standard Sport Utility Vehicle 4WD
Porsche,Cayenne S e-Hybrid,Standard Sport Utility Vehicle 4WD
BMW,228i Convertible,Subcompact Cars
Mercedes-Benz,CLS400 4matic,Compact Cars
Hyundai,Azera Limited,Large Cars
Ram,Promaster City,Special Purpose Vehicle 2WD
Lexus,NX 200t,Small Sport Utility Vehicle 2WD
Lexus,NX 200t AWD,Small Sport Utility Vehicle 4WD
Lexus,NX 200t AWD F Sport,Small Sport Utility Vehicle 4WD
Land Rover,Range Rover LWB,Standard Sport Utility Vehicle 4WD
Bentley,Continental GT3-R,Two Seaters
Porsche,911 Carrera GTS,Minicompact Cars
Porsche,911 Carrera GTS Cabriolet,Minicompact Cars
Porsche,911 Carrera 4 GTS,Minicompact Cars
Porsche,911 Carrera 4 GTS Cabriolet,Minicompact Cars
BMW,228i xDrive Convertible,Subcompact Cars
BMW,M235i Convertible,Subcompact Cars
Pontiac,Safari Wagon,Midsize-Large Station Wagons
Nissan,Juke Nismo RS,Small Station Wagons
Nissan,Juke Nismo RS AWD,Small Station Wagons
Nissan,Murano FWD,Midsize Station Wagons
Nissan,Murano AWD,Midsize Station Wagons
Lincoln,MKT AWD,Standard Sport Utility Vehicle 4WD
Mercedes-Benz,S65 AMG Coupe,Compact Cars
Volvo,V60 CC FWD,Small Sport Utility Vehicle 2WD
Volvo,V60 CC AWD,Small Sport Utility Vehicle 4WD
Kia,Sorento FE AWD,Small Sport Utility Vehicle 4WD
Tesla,Model S AWD (85 kW-hr battery pack),Large Cars
Honda,HR-V 2WD,Small Sport Utility Vehicle 2WD
Honda,HR-V 4WD,Small Sport Utility Vehicle 4WD
Land Rover,Discovery Sport,Standard Sport Utility Vehicle 4WD
Tesla,Model S AWD - P85D,Large Cars
Tesla,Model S AWD - 85D,Large Cars
Kia,Sportage SX FWD,Small Sport Utility Vehicle 2WD
Kia,Sportage SX AWD,Small Sport Utility Vehicle 4WD
Jaguar,F-Type S AWD Coupe,Two Seaters
Jaguar,F-Type S AWD Convertible,Two Seaters
Jeep,Renegade 2WD,Small Sport Utility Vehicle 2WD
Jaguar,F-Type R Convertible,Two Seaters
Jaguar,F-Type R AWD Coupe,Two Seaters
Jaguar,F-Type R AWD Convertible,Two Seaters
Chevrolet,Impala Bi-Fuel  (CNG),Midsize Cars
MINI,John Cooper Works Hardtop,Subcompact Cars
Hyundai,Sonata Hybrid SE,Midsize Cars
Volkswagen,Golf SportWagen,Small Station Wagons
Mercedes-Benz,GLA250,Midsize Station Wagons
Nissan,NV200 NYC Taxi,Special Purpose Vehicle 2WD
Jeep,Renegade 4WD,Small Sport Utility Vehicle 4WD
Infiniti,QX80 4WD (over 6000 lbs curb weight),Standard Sport Utility Vehicle 4WD
Ford,Courier,Small Pickup Trucks
Tesla,Model S AWD - 70D,Large Cars
BMW,X3 sDrive 28i,Small Sport Utility Vehicle 2WD
Porsche,911 Targa 4 GTS,Minicompact Cars
Mercedes-Benz,AMG E63 4matic,Midsize Cars
Mercedes-Benz,AMG E63 S 4matic,Midsize Cars
Mercedes-Benz,Maybach S 600,Large Cars
Mercedes-Benz,AMG E63 S 4matic (wagon),Midsize Station Wagons
Mercedes-Benz,AMG GT S,Two Seaters
Fiat,500 X,Small Sport Utility Vehicle 2WD
Mercedes-Benz,AMG C63,Compact Cars
Mercedes-Benz,AMG C63 S,Compact Cars
Mazda,CX-3 2WD,Compact Cars
Mazda,CX-3 4WD,Compact Cars
Volvo,S60 Inscription AWD,Compact Cars
Fiat,500 X AWD,Small Sport Utility Vehicle 4WD
Volvo,V60 CC AWD,Small Station Wagons
Volvo,S60 CC AWD,Compact Cars
Porsche,Cayman GT4,Two Seaters
Volvo,S60 Inscription FWD,Compact Cars
Hyundai,Tucson FWD,Small Sport Utility Vehicle 2WD
Pagani,Huayra Coupe,Two Seaters
Cadillac,ATS-V,Compact Cars
Maserati,Ghibli  S RWD,Midsize Cars
Maserati,Quattroporte S,Large Cars
Scion,iA,Subcompact Cars
Chevrolet,Cruze Limited,Midsize Cars
Hyundai,Tucson Eco FWD,Small Sport Utility Vehicle 2WD
Hyundai,Tucson Eco AWD,Small Sport Utility Vehicle 4WD
Mazda,B2000/B2200/B2600,Small Pickup Trucks
Audi,TTS Coupe,Subcompact Cars
Chevrolet,Cruze Limited  Eco,Midsize Cars
Chevrolet,Sonic 5,Small Station Wagons
Dodge,Journey,Small Sport Utility Vehicle 2WD
Land Rover,Discovery Sport,Small Sport Utility Vehicle 4WD
Mercedes-Benz,S550e,Large Cars
Mercedes-Benz,AMG SL63,Two Seaters
Mercedes-Benz,AMG SLK55,Two Seaters
Mercedes-Benz,AMG CLS63 S 4matic,Compact Cars
Mercedes-Benz,AMG S63 4matic,Large Cars
Mercedes-Benz,GLE350 4matic,Standard Sport Utility Vehicle 4WD
Mercedes-Benz,AMG SL65,Two Seaters
MINI,Cooper S Hardtop 2 door,Subcompact Cars
MINI,Cooper S Hardtop 4 door,Subcompact Cars
Mercedes-Benz,AMG S63 4matic Coupe,Compact Cars
Mercedes-Benz,GLE350,Standard Sport Utility Vehicle 2WD
Chevrolet,R10 Pickup 2WD,Standard Pickup Trucks
Mercedes-Benz,GLE350 d 4matic,Standard Sport Utility Vehicle 4WD
Mercedes-Benz,AMG GL63,Standard Sport Utility Vehicle 4WD
BMW,M235i xDrive Convertible,Subcompact Cars
